	clusterList	function_euclidean_distance_y
0	1	8939.652057457557
1	2	8675.43883063873
2	3	8431.65501115024
3	4	8129.28935497446
4	5	7934.392827455507
5	6	7885.867447134539
6	7	7735.81898022864
7	8	7639.875886342235
8	9	7602.349738515819
9	10	7543.509892911747
