	clusterList	function_euclidean_distance_y	function_squared_euclidean_distance_y	function_chebyshev_distance_y	function_manhatten_distance_y
0	3	0.026548300053412802	0.046186420625740986	0.00031132098714736734	0.03860225874784948
1	4	0.011514488908358296	0.01850435882402376	0.001037494835991062	0.016018229275534833
2	5	0.007818625528393894	0.011886922063251712	0.0008758206730968097	0.011113306653594352
3	6	0.006063269762756634	0.009172679987782706	0.0007139870582379191	0.00844302517454394
4	7	0.0031235661082401316	0.004423438395622585	0.0009753349192437744	0.004123091775427289
5	8	0.0013684343469719618	0.001799965748542907	0.0006503847440615478	0.0015629240414832722
6	9	0.0007827132220759625	0.0010916809759467963	0.0003252734358630468	0.0009399397070368585
7	10	0.0	0.0	0.0	0.0
