	clusterList	function_manhatten_distance_y
0	1	48862.75237961298
1	2	47812.0428264436
2	3	47036.06199005805
3	4	45682.734911062864
4	5	44934.19854874129
5	6	44745.32279339811
6	7	44105.27209981528
7	8	43818.44935357661
8	9	43654.43625651121
9	10	43474.12821403259
