	clusterList	function_euclidean_distance_y	function_squared_euclidean_distance_y	function_chebyshev_distance_y	function_manhatten_distance_y
0	3	0.017598221382474803	0.030823638584912157	0.006869502390697087	0.024159249942683203
1	4	0.01688792312435129	0.029355022623752777	0.007314854693851972	0.023040449023722463
2	5	0.013015184896618277	0.0228094265640313	0.006996528168161032	0.023497335234975682
3	6	0.010423754026817987	0.017200175501773163	0.006040091300290057	0.020367655311852587
4	7	0.007984249662303202	0.013212072455505567	0.004584343630358049	0.012049478125209092
5	8	0.006596819853436125	0.011064837955786477	0.0034198724191106065	0.006743734206601455
6	9	0.003260587139617495	0.005170373781467453	0.003036210488742812	0.002012916590465673
7	10	0.0	0.0	0.0	0.0
