	number_vectorpairs	function_euclidean_distance_y	function_squared_euclidean_distance_y	function_chebyshev_distance_y	function_manhatten_distance_y
0	0	0.0	0.0	0.0	0.0
1	100000	0.27584052085876465	0.23285651206970215	0.18189406394958496	0.23779678344726562
2	200000	0.5197033882141113	0.48171114921569824	0.36980319023132324	0.4790184497833252
3	300000	0.8065502643585205	0.7145938873291016	0.5516705513000488	0.7122321128845215
4	400000	1.0963637828826904	0.9574658870697021	0.7385787963867188	0.9728071689605713
5	500000	1.3782131671905518	1.1973164081573486	0.9204742908477783	1.265043020248413
6	600000	1.5850958824157715	1.4041860103607178	1.112365484237671	1.4299330711364746
7	700000	1.8489580154418945	1.6450738906860352	1.2702882289886475	1.64719820022583
8	800000	2.0738203525543213	1.8929059505462646	1.4811410903930664	1.92588472366333
9	900000	2.3136613368988037	2.141777992248535	1.697049856185913	2.1749203205108643
10	1000000	2.5915348529815674	2.4046268463134766	1.906911849975586	2.4561095237731934
11	1100000	2.8123812675476074	2.569547176361084	2.1777517795562744	2.7479076385498047
12	1200000	3.1392085552215576	2.7954044342041016	2.269704818725586	2.870227813720703
13	1300000	3.3371083736419678	3.094233989715576	2.5365400314331055	3.0956804752349854
14	1400000	3.5479798316955566	3.2441353797912598	2.8513894081115723	3.388028144836426
15	1500000	3.7968146800994873	3.5319976806640625	3.5789401531219482	3.5854647159576416
16	1600000	4.121647834777832	3.82780122756958	3.8268158435821533	3.9046003818511963
17	1700000	4.293549299240112	3.952744245529175	3.621946096420288	4.13804030418396
18	1800000	4.699318170547485	4.270562648773193	3.7663817405700684	4.342739105224609
19	1900000	4.876232385635376	4.537425518035889	3.8727622032165527	4.701094150543213
20	2000000	5.078085660934448	4.6733314990997314	4.10017204284668	4.821784019470215
