	clusterList	function_euclidean_distance_y	function_squared_euclidean_distance_y	function_chebyshev_distance_y	function_manhatten_distance_y
0	1	1.6591910501941654	1.6712228455015579	1.4543493252339061	1.6890234699227384
1	2	1.2140558997261635	1.2352867705135344	1.1693056325380302	1.257391797492814
2	3	0.8823169360543778	0.8642946488375163	1.1183683362738797	0.9353653820814064
3	4	0.47130538077838674	0.4429553295735587	0.6123008374392753	0.44032546057025707
4	5	0.12537066496432372	0.17827698398683414	0.12064602312292301	0.023159849959931512
5	6	-0.2280139936603449	-0.2763749640800685	-0.27572793778027105	-0.1878831928710872
6	7	-0.5562119630538647	-0.5816882561795995	-0.6852816398508275	-0.7610207108963589
7	8	-0.9111790388383323	-0.9173867812387334	-0.9456291853201015	-0.9808375725833871
8	9	-1.1945737512287755	-1.193232573055429	-1.0201937110467387	-1.1692910072123528
9	10	-1.4622611849360998	-1.4233540038592383	-1.5481376806100362	-1.246233476463976
