	clusterList	function_euclidean_distance_y	function_squared_euclidean_distance_y	function_chebyshev_distance_y	function_manhatten_distance_y
0	3	0.023429378179745504	0.04169613994941448	0.00773506286281888	0.032505337054052466
1	4	0.027263010396404573	0.0486743391337162	0.010165878817860354	0.04009918453468056
2	5	0.025589230896779197	0.04407102755121655	0.012588201133516285	0.05433360569520392
3	6	0.0263620209431691	0.04640648439659194	0.01425271674114987	0.05648819928764028
4	7	0.02750673291508402	0.04857720973628979	0.015952176875719072	0.07289238222325024
5	8	0.037365859558452834	0.06767432720753074	0.0170422866736217	0.07458514764198822
6	9	0.038021086286492874	0.06952902626575512	0.01726732961264464	0.07679019743100941
7	10	0.03798992668358216	0.06763914881099939	0.01979227232459241	0.06965753410632576
